NAAM;length_km;area_km;dens_km;Niveau
433;101,14;29,09;3,48;jachtterrein
434;249,74;51,14;4,88;jachtterrein
436;163,36;41,87;3,90;jachtterrein
437;184,72;42,77;4,32;jachtterrein
438;169,91;36,53;4,65;jachtterrein
439;97,50;38,00;2,57;jachtterrein
440;66,89;18,74;3,57;jachtterrein
441;132,24;44,42;2,98;jachtterrein
442;216,26;55,42;3,90;jachtterrein
444;58,07;13,90;4,18;jachtterrein
445;47,10;16,64;2,83;jachtterrein
446;53,58;14,59;3,67;jachtterrein
447;0,12;0,02;5,73;jachtterrein
503;101,69;30,82;3,30;jachtterrein
504;167,00;42,06;3,97;jachtterrein
505;196,81;54,31;3,62;jachtterrein
506;216,35;72,11;3,00;jachtterrein
507;285,03;71,90;3,96;jachtterrein
508;79,15;25,05;3,16;jachtterrein
509;88,38;15,99;5,53;jachtterrein
510;149,20;27,88;5,35;jachtterrein
511;165,43;45,60;3,63;jachtterrein
512;55,16;19,31;2,86;jachtterrein
514;52,07;14,26;3,65;jachtterrein
521;53,39;19,81;2,70;jachtterrein
522;132,71;38,07;3,49;jachtterrein
523;230,04;59,18;3,89;jachtterrein
524;118,49;40,54;2,92;jachtterrein
525;221,14;58,54;3,78;jachtterrein
526;548,59;131,17;4,18;jachtterrein
527;146,94;48,34;3,04;jachtterrein
528;34,44;12,65;2,72;jachtterrein
529;104,76;25,76;4,07;jachtterrein
531;167,50;48,69;3,44;jachtterrein
532;144,50;47,21;3,06;jachtterrein
533;143,63;57,22;2,51;jachtterrein
534;117,88;30,46;3,87;jachtterrein
535;244,11;80,62;3,03;jachtterrein
536;240,69;59,78;4,03;jachtterrein
537;39,55;13,17;3,00;jachtterrein
539;48,40;15,74;3,07;jachtterrein
540;147,60;36,12;4,09;jachtterrein
541;165,92;36,25;4,58;jachtterrein
542;75,47;13,53;5,58;jachtterrein
543;47,44;10,56;4,49;jachtterrein
544;61,13;13,89;4,40;jachtterrein
1;11431,93;2180,88;5,24;FBDZ
2;8944,64;1593,24;5,61;FBDZ
3;8652,21;1601,08;5,40;FBDZ
4;9931,30;1624,27;6,11;FBDZ
1;7927,84;1402,98;5,65;FBDZ
2;865,40;207,91;4,16;FBDZ
3;266,11;83,04;3,20;FBDZ
1;8192,67;1122,69;7,30;FBDZ
2;2225,40;372,18;5,98;FBDZ
Bekkevoortse;76,99;19,34;3,98;FBDZ
NO;348,76;60,83;5,73;FBDZ
NW;1360,99;188,17;7,23;FBDZ
rest FBZ7;4952,05;1041,35;4,76;FBDZ
A;198,01;46,12;4,29;FBDZ
B;398,97;81,76;4,88;FBDZ
C;892,39;130,07;6,86;FBDZ
D;212,42;34,06;6,24;FBDZ
E;700,55;83,47;8,39;FBDZ
A;3054,97;544,17;5,61;FBDZ
B;6250,86;1155,99;5,41;FBDZ
10;154,40;50,70;3,05;FBDZ
