"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
7493;"Ree";2016;"2016-03-31";"Antwerpen";"Vrouwelijk";"Jongvolwassen";14,1;FALSE;1;150;150;"afschot";34;151;"Adult"
7494;"Ree";2016;"2016-08-31";"Antwerpen";"Mannelijk";"Volwassen";19,5;TRUE;NA;162;162;"afschot";NA;NA;"Niet ingezameld"
7495;"Ree";2014;"2014-02-17";"Vlaams-Brabant";"Vrouwelijk";"Kits";11,5;FALSE;0;139;139;"afschot";NA;NA;"Niet ingezameld"
7496;"Ree";2016;"2016-02-25";"Oost-Vlaanderen";"Vrouwelijk";"Kits";14;FALSE;0;145;145;"afschot";10;138;"Kits"
7497;"Ree";2014;"2014-03-30";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;140;141;"afschot";NA;NA;"Niet ingezameld"
7498;"Ree";2014;"2014-03-15";"Limburg";"Mannelijk";"Kits";9,3;NA;NA;142;141;"afschot";NA;NA;"Niet ingezameld"
7499;"Ree";2017;"2017-01-20";"Limburg";"Vrouwelijk";"Volwassen";14;FALSE;2;153;NA;"afschot";NA;NA;"Niet ingezameld"
7500;"Wild zwijn";2012;"2012-04-27";"Limburg";"Vrouwelijk";"Frisling";38;NA;NA;NA;NA;"afschot";13;NA;"Adult"
7501;"Wild zwijn";2012;"2012-06-13";"Limburg";"Mannelijk";"Adult";45;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7502;"Ree";2016;"2016-02-17";"Limburg";"Vrouwelijk";"Volwassen";16,5;FALSE;2;161;161;"afschot";34;157;"Adult"
7503;"Ree";2015;"2015-07-26";"Vlaams-Brabant";"Mannelijk";"Volwassen";17;TRUE;NA;155;NA;"afschot";NA;NA;"Niet ingezameld"
7504;"Ree";2015;"2015-03-05";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
7505;"Ree";2016;"2016-08-21";"Voeren";"Mannelijk";"Volwassen";16,5;TRUE;NA;140;130;"afschot";NA;NA;"Niet ingezameld"
7506;"Ree";2014;"2014-07-07";"Limburg";"Mannelijk";"Volwassen";18,5;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
7507;"Ree";2015;"2015-03-02";"Oost-Vlaanderen";"Mannelijk";"Kits";13;TRUE;NA;137;137;"afschot";NA;135;"Kits"
7508;"Ree";2015;"2015-03-31";"Oost-Vlaanderen";"Vrouwelijk";"Kits";12;FALSE;0;160;160;"afschot";NA;NA;"Niet ingezameld"
7509;"Ree";2017;"2017-03-11";"Antwerpen";"Vrouwelijk";"Volwassen";12,5;TRUE;NA;154;NA;"afschot";NA;NA;"Niet ingezameld"
7510;"Ree";2014;"2014-08-08";"Vlaams-Brabant";"Mannelijk";"Volwassen";17,8;TRUE;NA;153;156;"afschot";NA;NA;"Niet ingezameld"
7511;"Ree";2016;"2016-03-12";"Vlaams-Brabant";"Mannelijk";"Kits";8,8;TRUE;NA;135;135;"afschot";10;134;"Kits"
7512;"Wild zwijn";2016;"2016-01-28";"Limburg";"Vrouwelijk";"Overloper";30;FALSE;4;NA;NA;"afschot";7;NA;"Frisling"
7513;"Ree";2017;"2017-03-31";"Vlaams-Brabant";"Mannelijk";"Kits";13,9;TRUE;NA;135;NA;"afschot";NA;NA;"Niet ingezameld"
7514;"Ree";2014;"2014-03-31";"Antwerpen";"Vrouwelijk";"Kits";11;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7515;"Wild zwijn";2017;"2017-01-28";"Limburg";"Vrouwelijk";"Frisling";31;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7516;"Ree";2017;"2017-03-31";"Antwerpen";"Mannelijk";"Kits";12,1;TRUE;NA;152;NA;"afschot";NA;NA;"Niet ingezameld"
7517;"Ree";2016;"2016-09-11";"Limburg";"Mannelijk";"Jongvolwassen";17;TRUE;NA;147;NA;"afschot";NA;NA;"Niet ingezameld"
7518;"Ree";2015;"2015-05-28";"Limburg";"Mannelijk";"Volwassen";16,2;TRUE;NA;151;151;"afschot";NA;NA;"Niet ingezameld"
7519;"Ree";2015;"2015-03-28";"Antwerpen";"Vrouwelijk";"Kits";11,5;FALSE;0;147;147;"afschot";NA;142;"Kits"
7520;"Ree";2014;"2014-07-15";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;170;170;"afschot";NA;NA;"Niet ingezameld"
7521;"Wild zwijn";2016;"2016-05-31";"Limburg";"Mannelijk";"Overloper";50;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7522;"Ree";2014;"2014-08-12";"Limburg";"Mannelijk";"Jongvolwassen";17;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
7523;"Ree";2015;"2015-08-04";"Limburg";"Mannelijk";"Volwassen";16;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
7524;"Ree";2015;"2015-05-30";"Limburg";"Mannelijk";"Jongvolwassen";13,2;TRUE;NA;145;145;"afschot";13;146;"Jongvolwassen"
7525;"Ree";2016;"2016-08-07";"Limburg";"Mannelijk";"Volwassen";16;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
7526;"Ree";2014;"2014-08-08";"Antwerpen";"Mannelijk";"Volwassen";18;NA;NA;163;163;"afschot";NA;NA;"Niet ingezameld"
7527;"Ree";2015;"2015-03-01";"Limburg";"Vrouwelijk";"Kits";13,5;FALSE;NA;150;150;"afschot";58;148;"Adult"
7528;"Ree";2016;"2016-07-05";"Limburg";"Mannelijk";"Jongvolwassen";16;TRUE;NA;134;134;"afschot";NA;NA;"Niet ingezameld"
7529;"Ree";2016;"2016-03-09";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";19;FALSE;0;160;159;"afschot";NA;NA;"Niet ingezameld"
7530;"Ree";2014;"2014-06-29";"Limburg";"Mannelijk";"Kits";11,2;NA;NA;130;134;"afschot";NA;NA;"Niet ingezameld"
7531;"Ree";2014;"2014-05-01";"Limburg";"Mannelijk";"Volwassen";15;TRUE;NA;170;170;"afschot";NA;NA;"Niet ingezameld"
7532;"Ree";2016;"2016-02-19";"Oost-Vlaanderen";"Mannelijk";"Kits";13,6;TRUE;NA;159;NA;"afschot";11;NA;"Kits"
7533;"Ree";2016;"2016-09-10";"Antwerpen";"Mannelijk";"Volwassen";14;TRUE;NA;151;NA;"afschot";NA;NA;"Niet ingezameld"
7534;"Ree";2015;"2015-01-29";"Limburg";"Mannelijk";"Kits";8;NA;NA;112;111;"afschot";NA;NA;"Niet ingezameld"
7535;"Ree";2017;"2017-03-04";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17,8;TRUE;NA;153;NA;"afschot";NA;NA;"Niet ingezameld"
7536;"Ree";2017;"2017-02-12";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
7537;"Ree";2017;"2017-03-22";"Vlaams-Brabant";"Vrouwelijk";"Kits";12,5;FALSE;NA;149;NA;"afschot";NA;NA;"Niet ingezameld"
7538;"Ree";2016;"2016-03-07";"Antwerpen";"Vrouwelijk";"Volwassen";16,9;FALSE;2;154;154;"afschot";34;155;"Adult"
7539;"Ree";2014;"2014-01-25";"Limburg";"Vrouwelijk";"Kits";11;FALSE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
7540;"Wild zwijn";2015;"2015-12-27";"Limburg";"Mannelijk";"Overloper";51;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7541;"Ree";2014;"2014-01-25";"Limburg";"Vrouwelijk";"Volwassen";15;FALSE;2;170;170;"afschot";NA;NA;"Niet ingezameld"
7542;"Wild zwijn";2014;"2014-12-27";"Limburg";"Vrouwelijk";"Frisling";23;TRUE;NA;NA;NA;"afschot";9;NA;"Frisling"
7543;"Ree";2014;"2014-05-17";"Vlaams-Brabant";"Mannelijk";"Kits";12,5;TRUE;NA;139;139;"afschot";NA;NA;"Niet ingezameld"
7544;"Wild zwijn";2015;"2015-02-05";"Voeren";"Mannelijk";"Volwassen";61;NA;NA;NA;NA;"afschot";18;NA;"Overloper"
7545;"Ree";2015;"2015-07-19";"Vlaams-Brabant";"Mannelijk";"Volwassen";25,7;TRUE;NA;136;136;"afschot";NA;NA;"Niet ingezameld"
7546;"Ree";2014;"2014-05-13";"Limburg";"Mannelijk";"Volwassen";20;NA;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
7547;"Ree";2015;"2015-05-05";"Limburg";"Mannelijk";"Jongvolwassen";17,5;NA;NA;164;164;"afschot";NA;NA;"Niet ingezameld"
7548;"Ree";2014;"2014-03-26";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18;TRUE;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
7549;"Ree";2016;"2016-03-03";"Antwerpen";"Mannelijk";"Kits";10;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7550;"Ree";2015;"2015-02-27";"Antwerpen";"Vrouwelijk";"Volwassen";18;FALSE;2;165;165;"afschot";NA;NA;"Niet ingezameld"
7551;"Ree";2016;"2016-06-15";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";16;TRUE;NA;160;NA;"afschot";NA;NA;"Niet ingezameld"
7552;"Ree";2014;"2014-03-02";"Antwerpen";"Mannelijk";"Kits";13,2;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
7553;"Ree";2015;"2015-03-18";"Limburg";"Vrouwelijk";"Kits";12;FALSE;NA;140;139;"afschot";NA;NA;"Niet ingezameld"
7554;"Ree";2016;"2016-08-14";"Antwerpen";"Mannelijk";"Jongvolwassen";13,5;TRUE;NA;152;150;"afschot";NA;NA;"Niet ingezameld"
7555;"Ree";2015;"2015-03-18";"Limburg";"Vrouwelijk";"Jongvolwassen";18,1;FALSE;2;165;165;"afschot";NA;NA;"Niet ingezameld"
7556;"Damhert";2011;"2011-12-02";"Oost-Vlaanderen";"Mannelijk";"Adult";40;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7557;"Wild zwijn";2015;"2015-11-14";"Limburg";"Vrouwelijk";"Overloper";NA;FALSE;0;NA;NA;"afschot";10;NA;"Frisling"
7558;"Ree";2015;"2015-07-15";"West-Vlaanderen";"Mannelijk";"Volwassen";20,5;TRUE;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
7559;"Ree";2017;"2017-01-25";"Limburg";"Mannelijk";"Kits";11,7;TRUE;NA;141;NA;"afschot";NA;NA;"Niet ingezameld"
7560;"Ree";2014;"2014-03-07";"Antwerpen";"Vrouwelijk";"Kits";10,5;FALSE;NA;141;NA;"afschot";NA;NA;"Niet ingezameld"
7561;"Ree";2017;"2017-01-05";"Oost-Vlaanderen";"Mannelijk";"Kits";12,4;TRUE;NA;144;NA;"afschot";NA;NA;"Niet ingezameld"
7562;"Ree";2014;"2014-05-02";"Limburg";"Mannelijk";"Jongvolwassen";14;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
7563;"Ree";2014;"2014-06-24";"Antwerpen";"Mannelijk";"Jongvolwassen";13,7;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
7564;"Ree";2015;"2015-03-20";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";18;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
7565;"Ree";2015;"2015-02-15";"Antwerpen";"Vrouwelijk";"Volwassen";16;FALSE;1;152;152;"afschot";NA;NA;"Niet ingezameld"
7566;"Ree";2014;"2014-02-02";"Antwerpen";"Vrouwelijk";"Volwassen";13;FALSE;1;147;147;"afschot";NA;NA;"Niet ingezameld"
7567;"Ree";2017;"2017-02-14";"Antwerpen";"Mannelijk";"Kits";12;TRUE;NA;138;NA;"afschot";NA;NA;"Niet ingezameld"
7568;"Ree";2016;"2016-03-16";"Antwerpen";"Mannelijk";"Kits";9;TRUE;NA;132;132;"afschot";9;130;"Kits"
7569;"Ree";2014;"2014-02-09";"Voeren";"Vrouwelijk";"Kits";11,5;FALSE;NA;144;142;"afschot";9;NA;"Kits"
7570;"Ree";2016;"2016-03-19";"Limburg";"Vrouwelijk";"Volwassen";13,2;FALSE;2;170;167;"afschot";34;157;"Adult"
7571;"Ree";2017;"2017-01-21";"Vlaams-Brabant";"Vrouwelijk";"Kits";7,7;FALSE;NA;137;NA;"afschot";NA;NA;"Niet ingezameld"
7572;"Ree";2014;"2014-02-23";"Limburg";"Vrouwelijk";"Volwassen";17;FALSE;1;155;155;"afschot";NA;NA;"Niet ingezameld"
7573;"Ree";2017;"2017-03-06";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;141;NA;"afschot";NA;NA;"Niet ingezameld"
7574;"Ree";2016;"2016-02-12";"Limburg";"Vrouwelijk";"Volwassen";16,8;FALSE;2;152;152;"afschot";46;157;"Adult"
7575;"Wild zwijn";2011;"2011-09-02";"Voeren";"Mannelijk";"Overloper";37;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
7576;"Wild zwijn";2011;"2011-12-20";"Limburg";"Vrouwelijk";"Frisling";37,5;NA;NA;NA;NA;"afschot";8;NA;"Overloper"
7577;"Ree";2014;"2014-01-29";"Antwerpen";"Mannelijk";"Kits";11,4;NA;NA;135;136;"afschot";NA;NA;"Niet ingezameld"
7578;"Ree";2016;"2016-02-25";"Antwerpen";"Vrouwelijk";"Volwassen";14,2;FALSE;2;151;149;"afschot";70;144;"Adult"
7579;"Ree";2015;"2015-01-30";"Vlaams-Brabant";"Vrouwelijk";"Kits";12;TRUE;NA;135;135;"afschot";NA;139;"Kits"
7580;"Ree";2016;"2016-07-05";"Antwerpen";"Mannelijk";"Jongvolwassen";14;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
7581;"Ree";2016;"2016-02-11";"Oost-Vlaanderen";"Mannelijk";"Kits";13,2;TRUE;NA;151;NA;"afschot";11;146;"Kits"
7582;"Wild zwijn";2013;"2013-07-12";"Limburg";"Mannelijk";"Frisling";32;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7583;"Ree";2015;"2015-09-03";"Limburg";"Mannelijk";"Jongvolwassen";14,5;NA;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
7584;"Ree";2014;"2014-02-12";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";19,5;FALSE;2;166;162;"afschot";NA;NA;"Niet ingezameld"
7585;"Ree";2016;"2016-09-11";"Vlaams-Brabant";"Mannelijk";"Volwassen";16,5;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
7586;"Ree";2016;"2016-03-06";"Limburg";"Mannelijk";"Kits";10;TRUE;NA;143;143;"afschot";9;141;"Kits"
7587;"Ree";2014;"2014-08-28";"Vlaams-Brabant";"Mannelijk";"Volwassen";19;TRUE;NA;160;161;"afschot";NA;NA;"Niet ingezameld"
7588;"Ree";2015;"2015-02-08";"Vlaams-Brabant";"Vrouwelijk";"Kits";11,2;FALSE;0;147;147;"afschot";NA;NA;"Niet ingezameld"
7589;"Wild zwijn";2014;"2014-07-19";"Limburg";"Mannelijk";"Overloper";54,6;NA;NA;NA;NA;"afschot";13;NA;"Overloper"
7590;"Ree";2016;"2016-07-28";"Limburg";"Mannelijk";"Volwassen";14,8;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
7591;"Wild zwijn";2017;"2017-01-29";"Voeren";"Mannelijk";"Overloper";36;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7592;"Ree";2014;"2014-05-04";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";13,2;TRUE;NA;149;149;"afschot";NA;NA;"Niet ingezameld"
7593;"Ree";2014;"2014-01-07";"Limburg";"Vrouwelijk";"Jongvolwassen";16,1;FALSE;0;163;163;"afschot";NA;NA;"Niet ingezameld"
7594;"Ree";2015;"2015-02-08";"Limburg";NA;"Volwassen";16;FALSE;2;165;167;"afschot";NA;NA;"Niet ingezameld"
7595;"Ree";2015;"2015-08-24";"Antwerpen";"Mannelijk";"Jongvolwassen";17;TRUE;NA;145;146;"afschot";NA;NA;"Niet ingezameld"
7596;"Ree";2016;"2016-03-18";"Limburg";"Vrouwelijk";"Kits";9,5;FALSE;0;138;138;"afschot";9;135;"Kits"
7597;"Ree";2016;"2016-07-24";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";16;TRUE;NA;152;152;"afschot";NA;NA;"Niet ingezameld"
7598;"Ree";2016;"2016-03-05";"Antwerpen";"Vrouwelijk";"Jongvolwassen";14;FALSE;2;157;157;"afschot";NA;NA;"Niet ingezameld"
7599;"Ree";2014;"2014-02-26";"Antwerpen";"Vrouwelijk";"Volwassen";18;TRUE;NA;16;16;"afschot";NA;NA;"Niet ingezameld"
7600;"Ree";2014;"2014-05-13";"Voeren";"Mannelijk";"Volwassen";14;NA;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
7601;"Ree";2014;"2014-02-13";"Limburg";NA;"Volwassen";19;FALSE;NA;160;170;"afschot";NA;NA;"Niet ingezameld"
7602;"Wild zwijn";2013;"2013-03-12";"Limburg";"Mannelijk";"Adult";60;NA;NA;NA;NA;"afschot";24;NA;"Adult"
7603;"Ree";2016;"2016-02-11";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;NA;NA;"afschot";9;146;"Kits"
7604;"Ree";2016;"2016-03-05";NA;"Vrouwelijk";"Volwassen";18,5;FALSE;2;165;165;"afschot";46;158;"Adult"
7605;"Ree";2014;"2014-03-13";"Limburg";"Vrouwelijk";"Kits";14;TRUE;NA;135;140;"afschot";NA;NA;"Niet ingezameld"
7606;"Ree";2017;"2017-01-20";"Limburg";"Vrouwelijk";"Kits";10;FALSE;0;134;NA;"afschot";NA;NA;"Niet ingezameld"
7607;"Ree";2016;"2016-07-02";"Limburg";"Mannelijk";"Volwassen";17,5;TRUE;NA;155;NA;"afschot";NA;NA;"Niet ingezameld"
7608;"Ree";2015;"2015-08-30";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;162;162;"afschot";25;152;"Adult"
7609;"Ree";2015;"2015-07-29";"Antwerpen";"Mannelijk";NA;17,5;TRUE;NA;160;NA;"afschot";NA;NA;"Niet ingezameld"
7610;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";9;138;"Kits"
7611;"Wild zwijn";2012;"2012-05-11";"Limburg";"Mannelijk";"Overloper";63;NA;NA;NA;NA;"afschot";14;NA;"Adult"
7612;"Ree";2014;"2014-05-31";NA;"Mannelijk";"Volwassen";16;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7613;"Ree";2017;"2017-03-11";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;135;NA;"afschot";NA;NA;"Niet ingezameld"
7614;"Wild zwijn";2013;"2013-07-02";"Limburg";"Vrouwelijk";"Adult";42;NA;NA;NA;NA;"afschot";35;NA;"Frisling"
7615;"Ree";2015;"2015-03-02";"Limburg";"Vrouwelijk";"Volwassen";18;FALSE;1;155;155;"afschot";NA;NA;"Niet ingezameld"
7616;"Ree";2014;"2014-06-03";"Antwerpen";"Mannelijk";"Volwassen";19,1;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
7617;"Ree";2015;"2015-05-02";"Antwerpen";"Mannelijk";"Volwassen";18;NA;NA;148;148;"afschot";NA;NA;"Niet ingezameld"
7618;"Ree";2015;"2015-03-01";"Limburg";"Mannelijk";"Kits";9;TRUE;NA;136;136;"afschot";NA;NA;"Niet ingezameld"
7619;"Ree";2014;"2014-07-23";"Limburg";"Mannelijk";"Volwassen";14;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
7620;"Ree";2014;"2014-03-18";"Antwerpen";"Vrouwelijk";"Volwassen";21;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
7621;"Ree";2015;"2015-01-30";"Vlaams-Brabant";"Mannelijk";"Kits";12,5;TRUE;NA;133;133;"afschot";NA;137;"Kits"
7622;"Ree";2016;"2016-03-10";"Limburg";"Vrouwelijk";"Kits";8;FALSE;0;140;140;"afschot";9;130;"Kits"
7623;"Ree";2014;"2014-03-09";"Oost-Vlaanderen";"Mannelijk";"Kits";14;TRUE;NA;138;138;"afschot";NA;NA;"Niet ingezameld"
7624;"Ree";2014;"2014-01-07";"Limburg";"Mannelijk";"Kits";13,6;NA;NA;144;146;"afschot";NA;NA;"Niet ingezameld"
7625;"Wild zwijn";2012;"2012-10-07";"Limburg";"Vrouwelijk";"Frisling";28;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
7626;"Ree";2015;"2015-08-07";"Vlaams-Brabant";"Mannelijk";"Volwassen";18;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
7627;"Ree";2016;"2016-03-19";"Antwerpen";"Mannelijk";"Kits";14,8;TRUE;NA;147;147;"afschot";10;143;"Kits"
7628;"Ree";2016;"2016-03-13";"Antwerpen";"Vrouwelijk";"Kits";10;FALSE;0;130;130;"afschot";10;NA;"Kits"
7629;"Ree";2015;"2015-07-23";"Antwerpen";"Mannelijk";"Volwassen";16,5;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
7630;"Ree";2014;"2014-03-05";"Limburg";"Vrouwelijk";"Kits";11;FALSE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
7631;"Ree";2017;"2017-03-15";"Limburg";"Vrouwelijk";"Volwassen";17;FALSE;2;163;NA;"afschot";NA;NA;"Niet ingezameld"
7632;"Ree";2014;"2014-07-31";"Antwerpen";"Mannelijk";"Jongvolwassen";15;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
7633;"Wild zwijn";2017;"2017-01-05";"Limburg";"Vrouwelijk";"Overloper";69;FALSE;5;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7634;"Ree";2017;"2017-03-07";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";14;FALSE;2;155;NA;"afschot";NA;NA;"Niet ingezameld"
7635;"Ree";2015;"2015-02-08";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17;FALSE;2;170;170;"afschot";NA;NA;"Niet ingezameld"
7636;"Ree";2014;"2014-02-22";"Limburg";"Vrouwelijk";"Kits";12;FALSE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
7637;"Ree";2017;"2017-01-13";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;143;NA;"afschot";NA;NA;"Niet ingezameld"
7638;"Ree";2015;"2015-09-09";"Limburg";"Mannelijk";"Jongvolwassen";17,2;NA;NA;146;146;"afschot";NA;NA;"Niet ingezameld"
7639;"Ree";2017;"2017-03-31";"Oost-Vlaanderen";"Mannelijk";"Kits";11;TRUE;NA;146;NA;"afschot";NA;NA;"Niet ingezameld"
7640;"Ree";2014;"2014-02-22";"Antwerpen";"Vrouwelijk";"Kits";13;FALSE;0;135;135;"afschot";NA;NA;"Niet ingezameld"
7641;"Ree";2016;"2016-07-04";"Antwerpen";"Mannelijk";"Jongvolwassen";14;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
7642;"Ree";2014;"2014-05-07";"Antwerpen";"Mannelijk";"Volwassen";14,8;TRUE;NA;100;100;"afschot";37;160;"Adult"
7643;"Ree";2014;"2014-02-03";"West-Vlaanderen";"Mannelijk";"Kits";15,2;TRUE;NA;143;144;"afschot";NA;NA;"Niet ingezameld"
7644;"Ree";2015;"2015-02-16";"West-Vlaanderen";"Vrouwelijk";"Kits";13,9;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
7645;"Wild zwijn";2013;"2013-03-27";"Limburg";"Vrouwelijk";"Adult";70;NA;NA;NA;NA;"afschot";13;NA;"Adult"
7646;"Ree";2017;"2017-03-01";"Limburg";"Vrouwelijk";"Volwassen";20;FALSE;1;150;NA;"afschot";NA;NA;"Niet ingezameld"
7647;"Ree";2017;"2017-02-17";"Oost-Vlaanderen";"Mannelijk";"Kits";14,5;TRUE;NA;142;NA;"afschot";NA;NA;"Niet ingezameld"
7648;"Ree";2017;"2017-03-26";"Vlaams-Brabant";"Mannelijk";"Kits";13,5;TRUE;NA;143;NA;"afschot";NA;NA;"Niet ingezameld"
7649;"Ree";2014;"2014-01-09";"Limburg";"Mannelijk";"Kits";11,5;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7650;"Ree";2014;"2014-03-30";"Antwerpen";"Vrouwelijk";"Volwassen";16;FALSE;2;146;148;"afschot";NA;NA;"Niet ingezameld"
7651;"Ree";2015;"2015-02-26";"Oost-Vlaanderen";"Mannelijk";"Kits";12;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
7652;"Ree";2014;"2014-02-10";"Limburg";"Vrouwelijk";"Volwassen";15,5;FALSE;2;150;150;"afschot";NA;NA;"Niet ingezameld"
7653;"Ree";2016;"2016-03-20";"Antwerpen";"Vrouwelijk";"Kits";10,8;FALSE;0;129;128;"afschot";9;135;"Kits"
7654;"Wild zwijn";2010;"2010-10-14";"Limburg";"Vrouwelijk";"Frisling";30;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7655;"Wild zwijn";2011;"2011-11-25";"Voeren";"Vrouwelijk";"Adult";48;NA;NA;NA;NA;"afschot";23;NA;"Adult"
7656;"Ree";2014;"2014-07-31";"West-Vlaanderen";"Mannelijk";"Volwassen";20;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
7657;"Ree";2016;"2016-01-15";"Limburg";"Vrouwelijk";"Kits";15;FALSE;0;160;160;"afschot";100;NA;"Adult"
7658;"Wild zwijn";2015;"2015-12-26";"Limburg";"Mannelijk";"Frisling";25;NA;NA;NA;NA;"afschot";5;NA;"Frisling"
7659;"Ree";2016;"2016-03-27";"Limburg";"Vrouwelijk";"Volwassen";12;FALSE;1;125;125;"afschot";19;154;"Jongvolwassen"
7660;"Ree";2014;"2014-07-05";"Vlaams-Brabant";"Mannelijk";"Volwassen";19,5;TRUE;NA;170;170;"afschot";NA;NA;"Niet ingezameld"
7661;"Ree";2015;"2015-08-05";"Limburg";"Mannelijk";"Volwassen";14,7;NA;NA;156;156;"afschot";NA;NA;"Niet ingezameld"
7662;"Ree";2017;"2017-03-01";"Limburg";"Vrouwelijk";"Kits";8;FALSE;0;134;NA;"afschot";NA;NA;"Niet ingezameld"
7663;"Ree";2017;"2017-03-06";"Oost-Vlaanderen";"Vrouwelijk";"Kits";8;FALSE;0;135;NA;"afschot";NA;NA;"Niet ingezameld"
7664;"Ree";2014;"2014-08-21";"Limburg";"Mannelijk";"Volwassen";23,5;TRUE;NA;164;164;"afschot";NA;NA;"Niet ingezameld"
7665;"Ree";2015;"2015-07-16";"Antwerpen";"Mannelijk";"Volwassen";16,7;TRUE;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
7666;"Ree";2017;"2017-03-21";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;159;NA;"afschot";NA;NA;"Niet ingezameld"
7667;"Ree";2015;"2015-03-12";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18,5;FALSE;1;135;135;"afschot";NA;NA;"Niet ingezameld"
7668;"Wild zwijn";2016;"2016-08-04";"Limburg";"Vrouwelijk";"Overloper";27;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
7669;"Ree";2015;"2015-02-06";"Antwerpen";"Vrouwelijk";"Kits";13;FALSE;0;155;155;"afschot";NA;150;"Kits"
7670;"Ree";2016;"2016-01-15";"Limburg";"Mannelijk";"Kits";12,3;TRUE;NA;143;143;"afschot";11;140;"Kits"
