"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
23413;"Ree";2970;"SCHILDE";"Antwerpen";2016
23414;"Ree";2323;"";"Antwerpen";2011
23415;"Ree";3630;"MAASMECHELEN";"Limburg";2016
23416;"Ree";3060;"BERTEM";"Vlaams-Brabant";2015
23417;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2017
23418;"Ree";NA;NA;"Limburg";2014
23419;"Ree";3560;"Linkhout";"Limburg";2010
23420;"Ree";3930;"Achel";"Limburg";2013
23421;"Ree";3580;"BERINGEN";"Limburg";2017
23422;"Wild zwijn";2380;"RAVELS";"Antwerpen";2016
23423;"Ree";3980;"TESSENDERLO";"Limburg";2017
23424;"Wild zwijn";3790;"VOEREN";"Voeren";2016
23425;"Ree";2400;"GEEL";"Antwerpen";2005
23426;"Ree";3560;"Linkhout";"Limburg";2013
23427;"Ree";3990;"Opgrimbie";"Limburg";2009
23428;"Ree";3550;"Beringen";"Limburg";2008
23429;"Ree";2440;"GEEL";"Antwerpen";2012
23430;"Ree";9185;"WACHTEBEKE";"Oost-Vlaanderen";2018
23431;"Ree";2950;"Berlaar";"Antwerpen";2009
23432;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2012
23433;"Ree";3530;"Achel";"Limburg";2003
23434;"Ree";3510;"Hasselt";"Limburg";2013
23435;"Ree";9185;"WACHTEBEKE";"Oost-Vlaanderen";2016
23436;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2006
23437;"Ree";2380;"Bornem";"Antwerpen";2008
23438;"Ree";3460;"Bekkevoort";"Vlaams-Brabant";2013
23439;"Ree";3680;"MAASEIK";"Limburg";2014
23440;"Ree";3980;"TESSENDERLO";"Limburg";2016
23441;"Ree";2980;"ZOERSEL";"Antwerpen";2016
23442;"Ree";3920;"LOMMEL";"Limburg";2017
23443;"Ree";3530;"Achel";"Limburg";2004
23444;"Ree";3620;"LANAKEN";"Limburg";2018
23445;"Ree";3730;"Hoeselt";"Limburg";2010
23446;"Ree";3390;"Tielt-Winge";"Vlaams-Brabant";2006
23447;"Ree";3450;"Bocholt";"Vlaams-Brabant";2003
23448;"Ree";3930;"HAMONT-ACHEL";"Limburg";2018
23449;"Wild zwijn";3670;"MEEUWEN-GRUITRODE";"Limburg";2017
23450;"Ree";3990;"PEER";"Limburg";2017
23451;"Ree";3530;"Achel";"Limburg";2004
23452;"Ree";2381;"RAVELS";"Antwerpen";2011
23453;"Ree";3790;"VOEREN";"Voeren";2016
23454;"Ree";2230;"HERSELT";"Antwerpen";2017
23455;"Ree";2242;"Massenhoven";"Antwerpen";2002
23456;"Ree";3945;"Ham";"Limburg";2013
23457;"Ree";3990;"PEER";"Limburg";2015
23458;"Ree";2880;"BORNEM";"Antwerpen";2017
23459;"Ree";3730;"HOESELT";"Limburg";2015
23460;"Ree";2275;"GIERLE";"Antwerpen";2009
23461;"Ree";3512;"Kuringen";"Limburg";2010
23462;"Ree";2370;"ARENDONK";"Antwerpen";2014
23463;"Ree";3790;"VOEREN";"Voeren";2016
23464;"Wild zwijn";3950;"BOCHOLT";"Limburg";2016
23465;"Ree";NA;NA;"Limburg";2017
23466;"Ree";2440;"GEEL";"Antwerpen";2018
23467;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
23468;"Ree";2880;"Bornem";"Antwerpen";2008
23469;"Ree";3920;"LOMMEL";"Limburg";2017
23470;"Ree";2920;"ESSEN";"Antwerpen";2012
23471;"Ree";2490;"Balen";"Antwerpen";2007
23472;"Ree";2400;"MOL";"Antwerpen";2016
